title,genres,rating,rating counts
"Bloody Child, The (1996)",Drama|Thriller,1.0,1
Cheetah (1989),Adventure|Children's,1.0,1
Diebinnen (1995),Drama,1.0,1
Elstree Calling (1930),Comedy|Musical,1.0,1
Even Dwarfs Started Small (Auch Zwerge haben klein angefangen) (1971),Drama,1.0,1
"Fantastic Night, The (La Nuit Fantastique) (1949)",Romance,1.0,1
Hillbillys in a Haunted House (1967),Comedy,1.0,1
Kestrel's Eye (Falkens öga) (1998),Documentary,1.0,1
"Little Indian, Big City (Un indien dans la ville) (1994)",Comedy,1.0,1
Lotto Land (1995),Drama,1.0,1
"Loves of Carmen, The (1948)",Drama,1.0,1
"Low Life, The (1994)",Drama,1.0,1
"McCullochs, The (1975)",Drama,1.0,1
Mutters Courage (1995),Comedy,1.0,1
Nueba Yol (1995),Comedy|Drama,1.0,1
Shadows (Cienie) (1988),Drama,1.0,1
"Silence of the Palace, The (Saimt el Qusur) (1994)",Drama,1.0,1
Sleepover (1995),Comedy|Drama,1.0,1
Terror in a Texas Town (1958),Western,1.0,1
Underworld (1997),Thriller,1.0,1
"Uninvited Guest, An (2000)",Drama,1.0,1
Waltzes from Vienna (1933),Comedy|Musical,1.0,1
White Boys (1999),Drama,1.0,1
Windows (1980),Drama,1.0,1
"Blood Spattered Bride, The (La Novia Ensangrentada) (1972)",Horror,1.0,2
Get Over It (1996),Drama,1.0,2
Torso (Corpi Presentano Tracce di Violenza Carnale) (1973),Horror,1.0,2
Venice/Venice (1992),Drama,1.0,2
Wirey Spindell (1999),Comedy,1.0,2
Spring Fever USA (a.k.a. Lauderdale) (1989),Comedy,1.0,3
Santa with Muscles (1996),Comedy,1.0,7
Carnosaur 3: Primal Species (1996),Horror|Sci-Fi,1.06,17
Slaughterhouse 2 (1988),Horror,1.14,7
Brenda Starr (1989),Adventure,1.17,6
Time Tracers (1995),Action|Adventure|Sci-Fi,1.29,7
Turbo: A Power Rangers Movie (1997),Action|Adventure|Children's,1.32,44
Daughter of Dr. Jeckyll (1957),Horror,1.33,3
3 Ninjas: High Noon On Mega Mountain (1998),Action|Children's,1.36,47
Amityville 3-D (1983),Horror,1.37,43
Carnosaur 2 (1995),Horror|Sci-Fi,1.46,26
Prom Night III: The Last Kiss (1989),Horror,1.47,15
Kazaam (1996),Children's|Comedy|Fantasy,1.47,120
Digimon: The Movie (2000),Adventure|Animation|Children's,1.49,43
August (1996),Drama,1.5,2
Autopsy (Macchie Solari) (1975),Horror,1.5,2
Marie Baie Des Anges (1997),Drama,1.5,2
Something to Sing About (1937),Comedy|Musical,1.5,2
Sudden Manhattan (1996),Comedy,1.5,2
Slaughterhouse (1987),Horror,1.5,8
"Garbage Pail Kids Movie, The (1987)",Adventure|Children's,1.53,32
Adrenalin: Fear the Rush (1996),Action|Sci-Fi,1.55,11
Barney's Great Adventure (1998),Adventure|Children's,1.55,40
Meatballs III (1987),Comedy,1.55,65
Problem Child 2 (1991),Comedy,1.56,99
