title,genres,rating,rating counts
"Bloody Child, The (1996)",Drama,1.0,1
Diebinnen (1995),Drama,1.0,1
Even Dwarfs Started Small (Auch Zwerge haben klein angefangen) (1971),Drama,1.0,1
Lotto Land (1995),Drama,1.0,1
"Loves of Carmen, The (1948)",Drama,1.0,1
"Low Life, The (1994)",Drama,1.0,1
"McCullochs, The (1975)",Drama,1.0,1
Nueba Yol (1995),Drama,1.0,1
Shadows (Cienie) (1988),Drama,1.0,1
"Silence of the Palace, The (Saimt el Qusur) (1994)",Drama,1.0,1
Sleepover (1995),Drama,1.0,1
"Uninvited Guest, An (2000)",Drama,1.0,1
White Boys (1999),Drama,1.0,1
Windows (1980),Drama,1.0,1
Get Over It (1996),Drama,1.0,2
Venice/Venice (1992),Drama,1.0,2
August (1996),Drama,1.5,2
Marie Baie Des Anges (1997),Drama,1.5,2
Digging to China (1998),Drama,1.6,5
Boys (1996),Drama,1.6,10
"Carriers Are Waiting, The (Les Convoyeurs Attendent) (1999)",Drama,1.67,3
Possession (1981),Drama,1.67,3
"Suburbans, The (1999)",Drama,1.67,6
Turn It Up (2000),Drama,1.71,7
Free Willy 3: The Rescue (1997),Drama,1.74,65
24-hour Woman (1998),Drama,1.78,9
"Big Squeeze, The (1996)",Drama,1.86,7
Let's Talk About Sex (1998),Drama,1.88,8
"Concorde: Airport '79, The (1979)",Drama,1.89,37
Big Bully (1996),Drama,1.92,12
Jerry Springer: Ringmaster (1998),Drama,1.97,59
"Bat Whispers, The (1930)",Drama,2.0,1
Choices (1981),Drama,2.0,1
Eden (1997),Drama,2.0,1
Harlem (1993),Drama,2.0,1
Juno and Paycock (1930),Drama,2.0,1
"Lay of the Land, The (1997)",Drama,2.0,1
Love Walked In (1998),Drama,2.0,1
Ménage (Tenue de soirée) (1986),Drama,2.0,1
Night Tide (1961),Drama,2.0,1
One Man's Hero (1999),Drama,2.0,1
"Proposition, The (1998)",Drama,2.0,1
Roula (1995),Drama,2.0,1
Small Faces (1995),Drama,2.0,1
Somewhere in the City (1997),Drama,2.0,1
Century (1993),Drama,2.0,2
"Naked Man, The (1998)",Drama,2.0,2
Talking About Sex (1994),Drama,2.0,2
Tarantella (1995),Drama,2.0,2
Tough and Deadly (1995),Drama,2.0,2
"Truce, The (1996)",Drama,2.0,2
Brothers in Trouble (1995),Drama,2.0,3
"Love, etc. (1996)",Drama,2.0,3
Jerry & Tom (1998),Drama,2.0,4
Penitentiary II (1982),Drama,2.0,4
Cobra (1925),Drama,2.0,5
Cool as Ice (1991),Drama,2.0,12
Free Willy 2: The Adventure Home (1995),Drama,2.02,113
Surf Nazis Must Die (1987),Drama,2.05,20
Showgirls (1995),Drama,2.05,217
Rocky V (1990),Drama,2.1,274
Bootmen (2000),Drama,2.11,9
"Karate Kid III, The (1989)",Drama,2.12,286
Autumn in New York (2000),Drama,2.13,117
Death Wish 4: The Crackdown (1987),Drama,2.15,48
"Boys, The (1997)",Drama,2.18,11
Molly (1999),Drama,2.18,11
Body Shots (1999),Drama,2.19,37
Delta of Venus (1994),Drama,2.2,5
Play it to the Bone (1999),Drama,2.2,70
Mad Love (1995),Drama,2.21,48
Jack Frost (1998),Drama,2.23,205
Simon Sez (1999),Drama,2.25,4
Death Wish V: The Face of Death (1994),Drama,2.26,38
Death Wish 3 (1985),Drama,2.26,72
Get Carter (2000),Drama,2.26,100
Gloria (1999),Drama,2.27,44
Beautiful (2000),Drama,2.3,40
Hanging Up (2000),Drama,2.3,176
My Tutor (1983),Drama,2.31,35
Rollercoaster (1977),Drama,2.31,42
Criminal Lovers (Les Amants Criminels) (1999),Drama,2.33,3
"Next Best Thing, The (2000)",Drama,2.33,160
Random Hearts (1999),Drama,2.33,250
"Blue Lagoon, The (1980)",Drama,2.33,346
Mary Reilly (1996),Drama,2.34,88
Airport '77 (1977),Drama,2.35,79
And God Created Woman (1988),Drama,2.38,40
In God's Hands (1998),Drama,2.4,5
Kicked in the Head (1997),Drama,2.4,5
Poetic Justice (1993),Drama,2.4,42
Calendar Girl (1993),Drama,2.42,24
Little Boy Blue (1997),Drama,2.43,7
Ripe (1996),Drama,2.43,7
White Man's Burden (1995),Drama,2.46,52
"Doom Generation, The (1995)",Drama,2.46,61
"Scarlet Letter, The (1995)",Drama,2.47,75
Simpatico (1999),Drama,2.48,21
Here on Earth (2000),Drama,2.48,89
I Dreamed of Africa (2000),Drama,2.49,68
Born to Win (1971),Drama,2.5,2
"Brother's Kiss, A (1997)",Drama,2.5,2
"Neon Bible, The (1995)",Drama,2.5,2
"Sunchaser, The (1996)",Drama,2.5,2
Sunset Park (1996),Drama,2.5,2
Talk of Angels (1998),Drama,2.5,2
Tokyo Fist (1995),Drama,2.5,2
"War at Home, The (1996)",Drama,2.5,2
Little Men (1998),Drama,2.5,4
"Spiders, The (Die Spinnen, 1. Teil: Der Goldene See) (1919)",Drama,2.5,4
"Grandview, U.S.A. (1984)",Drama,2.5,6
"Savage Nights (Nuits fauves, Les) (1992)",Drama,2.5,8
Seventh Heaven (Le Septième ciel) (1997),Drama,2.5,8
Under Capricorn (1949),Drama,2.5,8
New Rose Hotel (1998),Drama,2.5,12
Total Eclipse (1995),Drama,2.5,30
"Scout, The (1994)",Drama,2.51,68
Being Human (1993),Drama,2.52,29
Fire Down Below (1997),Drama,2.52,81
"This World, Then the Fireworks (1996)",Drama,2.53,15
One Night Stand (1997),Drama,2.54,39
Feeling Minnesota (1996),Drama,2.55,85
"Clan of the Cave Bear, The (1986)",Drama,2.55,231
Volcano (1997),Drama,2.56,181
Bogus (1996),Drama,2.58,43
Caligula (1980),Drama,2.58,89
