title,genres,user_count,rating_avg,user_age_avg
"$1,000,000 Duck (1971)","Children's, Comedy",37,3.03,31.16
'Night Mother (1986),Drama,70,3.37,33.27
'Til There Was You (1997),"Drama, Romance",52,2.69,28.83
"'burbs, The (1989)",Comedy,303,2.91,27.9
...And Justice for All (1979),"Drama, Thriller",199,3.71,35.98
1-900 (1994),Romance,2,2.5,40.5
10 Things I Hate About You (1999),"Comedy, Romance",700,3.42,23.63
101 Dalmatians (1961),"Animation, Children's",565,3.6,28.48
101 Dalmatians (1996),"Children's, Comedy",364,3.05,28.2
12 Angry Men (1957),Drama,616,4.3,32.5
"13th Warrior, The (1999)","Action, Horror, Thriller",750,3.16,27.25
187 (1997),Drama,55,2.75,27.4
2 Days in the Valley (1996),Crime,286,3.28,28.88
20 Dates (1998),Comedy,139,2.86,26.81
"20,000 Leagues Under the Sea (1954)","Adventure, Children's, Fantasy, Sci-Fi",575,3.7,34.29
200 Cigarettes (1999),"Comedy, Drama",181,2.88,25.79
2001: A Space Odyssey (1968),"Drama, Mystery, Sci-Fi, Thriller",1716,4.07,32.07
2010 (1984),"Mystery, Sci-Fi",470,3.42,31.18
24 7: Twenty Four Seven (1997),"Comedy, Drama",5,4.0,36.0
24-hour Woman (1998),Drama,9,1.78,32.67
28 Days (2000),Comedy,505,3.07,27.89
3 Ninjas: High Noon On Mega Mountain (1998),"Action, Children's",47,1.36,23.87
3 Strikes (2000),Comedy,4,2.75,28.25
"301, 302 (1995)",Mystery,9,2.89,30.89
"39 Steps, The (1935)",Thriller,253,4.08,36.53
"400 Blows, The (Les Quatre cents coups) (1959)",Drama,187,4.32,34.17
42 Up (1998),Documentary,88,4.23,34.95
52 Pick-Up (1986),"Action, Mystery, Thriller",140,3.3,37.57
54 (1998),Drama,259,2.76,24.25
"7th Voyage of Sinbad, The (1958)","Action, Adventure, Fantasy",258,3.62,33.47
8 1/2 (1963),Drama,228,4.11,36.35
8 1/2 Women (1999),Comedy,49,2.47,32.12
8 Heads in a Duffel Bag (1997),Comedy,145,2.32,28.61
8 Seconds (1994),Drama,72,3.32,26.83
8MM (1999),Thriller,272,2.86,29.19
A Chef in Love (1996),Comedy,24,3.58,37.75
Abbott and Costello Meet Frankenstein (1948),"Comedy, Horror",206,3.44,35.47
"Abominable Snowman, The (1957)","Horror, Sci-Fi",9,2.67,44.11
About Adam (2000),Comedy,20,3.1,26.6
About Last Night... (1986),"Comedy, Drama, Romance",326,3.16,31.15
Above the Rim (1994),Drama,49,3.02,24.84
"Absent Minded Professor, The (1961)","Children's, Comedy, Fantasy",380,3.45,33.18
Absolute Power (1997),"Mystery, Thriller",380,3.36,32.28
"Abyss, The (1989)","Action, Adventure, Sci-Fi, Thriller",1715,3.68,29.45
Ace Ventura: Pet Detective (1994),Comedy,766,3.15,27.42
Ace Ventura: When Nature Calls (1995),Comedy,389,2.48,26.65
Aces: Iron Eagle III (1992),"Action, War",125,1.64,30.5
"Acid House, The (1998)","Comedy, Drama",7,2.71,22.43
Across the Sea of Time (1995),Documentary,8,3.5,28.88
Action Jackson (1988),"Action, Comedy",185,2.25,28.89
"Actor's Revenge, An (Yukinojo Henge) (1963)",Drama,7,3.29,35.43
Addams Family Values (1993),Comedy,463,2.91,27.83
"Addams Family, The (1991)",Comedy,714,3.17,28.12
Addicted to Love (1997),"Comedy, Romance",240,3.1,28.79
"Addiction, The (1995)",Horror,69,3.0,29.54
Adrenalin: Fear the Rush (1996),"Action, Sci-Fi",11,1.55,22.36
Adventures in Babysitting (1987),"Adventure, Comedy",541,3.28,27.55
"Adventures of Buckaroo Bonzai Across the 8th Dimension, The (1984)","Adventure, Comedy, Sci-Fi",611,3.39,31.59
"Adventures of Elmo in Grouchland, The (1999)","Children's, Comedy",33,2.24,24.3
"Adventures of Milo and Otis, The (1986)",Children's,166,3.37,27.19
"Adventures of Pinocchio, The (1996)","Adventure, Children's",54,2.91,27.8
"Adventures of Priscilla, Queen of the Desert, The (1994)","Comedy, Drama",469,3.81,30.93
"Adventures of Robin Hood, The (1938)","Action, Adventure",378,3.97,34.6
"Adventures of Rocky and Bullwinkle, The (2000)","Animation, Children's, Comedy",206,2.5,27.85
"Adventures of Sebastian Cole, The (1998)","Comedy, Drama",33,3.52,30.06
"Affair of Love, An (Une Liaison Pornographique) (1999)","Drama, Romance",39,3.67,36.9
"Affair to Remember, An (1957)",Romance,189,3.95,34.83
Affliction (1997),Drama,198,3.61,31.12
"African Queen, The (1951)","Action, Adventure, Romance, War",1057,4.25,36.45
After Life (1998),Drama,102,4.09,33.23
Afterglow (1997),"Drama, Romance",82,3.11,35.05
Against All Odds (1984),Romance,133,3.25,33.35
"Age of Innocence, The (1993)",Drama,295,3.56,31.97
Agnes Browne (1999),"Comedy, Drama",34,3.32,36.5
Agnes of God (1985),"Drama, Mystery",276,3.38,34.96
Aimée & Jaguar (1999),"Drama, Romance",20,3.65,28.2
Aiqing wansui (1994),Drama,1,3.0,1.0
Air America (1990),"Action, Comedy",306,2.75,30.88
Air Bud (1997),"Children's, Comedy",112,2.49,26.41
Air Bud: Golden Receiver (1998),"Children's, Comedy",69,2.12,26.39
Air Force One (1997),"Action, Thriller",1076,3.59,29.13
"Air Up There, The (1994)",Comedy,90,2.66,24.12
Airheads (1994),Comedy,245,2.53,23.71
Airplane II: The Sequel (1982),Comedy,558,2.98,29.38
Airplane! (1980),Comedy,1731,3.97,30.03
Airport '77 (1977),Drama,79,2.35,37.06
Airport (1970),Drama,179,3.15,37.59
Airport 1975 (1974),Drama,84,2.63,37.18
Akira (1988),"Adventure, Animation, Sci-Fi, Thriller",452,3.93,25.28
Aladdin (1992),"Animation, Children's, Comedy, Musical",1351,3.79,26.3
Aladdin and the King of Thieves (1996),"Animation, Children's, Comedy",209,2.89,24.33
"Alan Smithee Film: Burn Hollywood Burn, An (1997)",Comedy,17,2.0,25.59
"Alarmist, The (1997)",Comedy,8,2.62,28.88
Alaska (1996),"Adventure, Children's",43,3.4,28.19
Albino Alligator (1996),"Crime, Thriller",94,2.85,26.94
Algiers (1938),"Drama, Romance",16,3.75,40.94
Alice and Martin (Alice et Martin) (1998),Drama,14,2.93,31.14
Alice in Wonderland (1951),"Animation, Children's, Musical",525,3.7,27.22
Alien (1979),"Action, Horror, Sci-Fi, Thriller",2024,4.16,30.61
Alien Escape (1995),"Horror, Sci-Fi",20,2.55,35.6
Alien Nation (1988),"Crime, Drama, Sci-Fi",504,3.22,30.66
Alien: Resurrection (1997),"Action, Horror, Sci-Fi",779,2.96,28.51
Aliens (1986),"Action, Sci-Fi, Thriller, War",1820,4.13,29.66
Alien³ (1992),"Action, Horror, Sci-Fi, Thriller",925,3.04,29.09
Alive (1993),Drama,366,3.4,26.63
All About Eve (1950),Drama,403,4.26,34.54
All About My Mother (Todo Sobre Mi Madre) (1999),"Comedy, Drama",394,4.09,30.74
All Dogs Go to Heaven (1989),"Animation, Children's",215,2.87,24.37
All Dogs Go to Heaven 2 (1996),"Animation, Children's, Musical",75,2.08,25.8
All Over Me (1997),Drama,21,3.67,23.24
All Quiet on the Western Front (1930),War,268,4.19,34.18
All That Jazz (1979),Musical,317,3.82,36.83
All Things Fair (1996),Drama,3,3.33,34.33
All the King's Men (1949),Drama,119,4.03,40.81
All the Rage (a.k.a. It's the Rage) (1999),Drama,12,3.33,27.33
All the Vermeers in New York (1990),"Comedy, Drama, Romance",27,3.04,33.85
Allan Quartermain and the Lost City of Gold (1987),"Action, Adventure",137,2.05,31.4
"Alley Cats, The (1968)",Drama,1,4.0,1.0
Alligator (1980),"Action, Horror, Sci-Fi",153,2.24,30.18
"Allnighter, The (1987)","Comedy, Romance",7,1.86,29.29
Almost Famous (2000),"Comedy, Drama",994,4.23,28.18
Almost Heroes (1998),"Adventure, Comedy",60,2.48,21.33
Alphaville (1965),Sci-Fi,64,3.36,32.67
Alvarez Kelly (1966),Western,28,3.32,45.86
Amadeus (1984),Drama,1382,4.25,31.87
Amateur (1994),"Crime, Drama, Thriller",47,3.79,28.66
"Amazing Panda Adventure, The (1995)","Adventure, Children's",18,2.89,22.89
American Beauty (1999),"Comedy, Drama",3428,4.32,29.62
American Buffalo (1996),Drama,60,3.17,32.82
American Dream (1990),Documentary,36,3.72,35.06
American Flyers (1985),Drama,97,3.33,30.98
American Gigolo (1980),Drama,295,3.17,33.85
American Graffiti (1973),"Comedy, Drama",990,4.03,33.86
American History X (1998),Drama,640,4.23,25.28
American Movie (1999),Documentary,295,4.01,27.35
American Pie (1999),Comedy,1389,3.71,25.16
American Pimp (1999),Documentary,61,3.31,27.26
American Pop (1981),"Animation, Musical",112,3.07,30.25
"American President, The (1995)","Comedy, Drama, Romance",1033,3.79,30.55
American Psycho (2000),"Comedy, Horror, Thriller",630,3.22,26.06
American Strays (1996),Action,4,2.0,26.5
"American Tail, An (1986)","Animation, Children's, Comedy",404,3.43,26.23
"American Tail: Fievel Goes West, An (1991)","Animation, Children's, Comedy",201,2.83,25.33
"American Werewolf in London, An (1981)",Horror,549,3.75,30.06
"American Werewolf in Paris, An (1997)","Comedy, Horror",265,2.75,27.63
"American in Paris, An (1951)","Musical, Romance",343,3.85,36.03
Amistad (1997),Drama,351,3.72,30.46
Amityville 1992: It's About Time (1992),Horror,32,1.72,31.06
Amityville 3-D (1983),Horror,43,1.37,30.91
"Amityville Curse, The (1990)",Horror,25,1.84,32.68
